Objects
100
,,Global Angle qbii_test:qbii_test,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
184,0,0.003215,0.000154,-0.000050,-57.828846,132.595901,30.462723
185,0,0.003233,0.000096,-0.000073,-57.827599,132.595383,30.460161
186,0,0.003239,0.000076,-0.000090,-57.824627,132.595047,30.460159
187,0,0.003247,0.000109,-0.000102,-57.823128,132.594757,30.462805
188,0,0.003248,0.000087,-0.000122,-57.822117,132.596375,30.462553
189,0,0.003242,0.000054,-0.000119,-57.821831,132.596375,30.462519
190,0,0.003256,0.000355,0.000038,-57.842525,132.601639,30.471254
191,0,0.003255,0.000220,-0.000019,-57.835682,132.599808,30.467844
192,0,0.003238,0.000152,-0.000043,-57.830193,132.598404,30.467310
193,0,0.003245,0.000097,-0.000061,-57.828930,132.596725,30.465660
194,0,0.003250,0.000089,-0.000060,-57.827263,132.596558,30.464579
195,0,0.003222,0.000374,0.000092,-57.846134,132.599365,30.475378
196,0,0.003213,0.000612,0.000204,-57.857059,132.600143,30.484478
197,0,0.003224,0.000415,0.000085,-57.847382,132.594955,30.479847
198,0,0.003206,0.000626,0.000164,-57.855656,132.598465,30.487801
199,0,0.003201,0.000407,0.000061,-57.846855,132.594193,30.480505
200,0,0.003190,0.000685,0.000171,-57.859123,132.598328,30.486858
201,0,0.003195,0.000365,0.000077,-57.846813,132.594803,30.473125
202,0,0.003211,0.000242,-0.000012,-57.840199,132.596420,30.468786
203,0,0.003233,0.000147,-0.000056,-57.836472,132.595963,30.465014
204,0,0.003190,0.000393,0.000037,-57.845974,132.599625,30.473740
205,0,0.003203,0.000265,-0.000028,-57.839214,132.599319,30.471380
206,0,0.003198,0.000173,-0.000052,-57.834896,132.599228,30.467209
207,0,0.003182,0.000072,-0.000058,-57.830067,132.595261,30.463655
208,0,0.003190,0.000018,-0.000072,-57.827797,132.594849,30.463226
209,0,0.003185,0.000021,-0.000093,-57.827976,132.594589,30.463017
210,0,0.003160,0.000314,0.000075,-57.847126,132.596985,30.471876
211,0,0.003186,0.000174,0.000002,-57.840305,132.595840,30.467197
212,0,0.003189,0.000119,-0.000032,-57.837715,132.592392,30.466436
213,0,0.003192,0.000447,0.000127,-57.854679,132.595413,30.476418
214,0,0.003194,0.000308,0.000041,-57.845299,132.594193,30.472202
