Time (s),x (cm),y (cm),theta (rad)
1654213182.374387,2.3141968995332718e-05,-3.990255208918825e-05,-1.2167151871735227
1654213182.419616,2.3141968995332718e-05,-3.990255208918825e-05,-1.2167215055533744
1654213182.419986,2.3141968995332718e-05,-3.990255208918825e-05,-1.2167108899117702
1654213182.463343,2.3141968995332718e-05,-3.990255208918825e-05,-1.2167174039349153
1654213182.48252,2.3141968995332718e-05,-3.990255208918825e-05,-1.2167220331009803
1654213182.528693,2.3141968995332718e-05,-3.990255208918825e-05,-1.2167229606841676
1654213182.571078,2.3141968995332718e-05,-3.990255208918825e-05,-1.2167230585055901
1654213182.615165,3.19176833727397e-05,-6.364318687701598e-05,-1.2167263984932097
1654213182.660515,2.3141952624428086e-05,-3.990255936514586e-05,-1.2167216033748463
1654213182.660894,2.3141952624428086e-05,-3.990255936514586e-05,-1.2167248455411035
1654213182.711084,2.3141952624428086e-05,-3.990255936514586e-05,-1.2167265644456173
1654213182.740613,2.3141952624428086e-05,-3.990255936514586e-05,-1.2167278536239632
1654213182.787003,2.3141952624428086e-05,-3.990255936514586e-05,-1.2167290449810608
1654213182.831422,2.3141952624428086e-05,-3.990255936514586e-05,-1.2167294747071724
1654213182.831785,3.1917730666464195e-05,-6.364317232510075e-05,-1.2167146596256608
1654213182.875899,2.314191806362942e-05,-3.990257391706109e-05,-1.2167265644456173
1654213182.91422,2.314191806362942e-05,-3.990257391706109e-05,-1.2167230585055901
1654213182.959512,2.314191806362942e-05,-3.990257391706109e-05,-1.2167169742087554
1654213183.003414,2.314191806362942e-05,-3.990257391706109e-05,-1.2167214374225153
1654213183.04832,2.314191806362942e-05,-3.990257391706109e-05,-1.2167294747071724
1654213183.048685,2.314191806362942e-05,-3.990257391706109e-05,-1.2167242498625868
1654213183.091657,2.314191806362942e-05,-3.990257391706109e-05,-1.2167215055533744
1654213183.103419,2.314191806362942e-05,-3.990257391706109e-05,-1.2167252071361943
1654213183.150669,2.314191806362942e-05,-3.990257391706109e-05,-1.2167217693271823
1654213183.195466,2.314191806362942e-05,-3.990257391706109e-05,-1.2167207439225671
1654213183.239114,3.191761061316356e-05,-6.364321598084643e-05,-1.2167305001118516
1654213183.284939,2.3141927158576436e-05,-3.990257027908228e-05,-1.2167215055533744
1654213183.334045,2.3141927158576436e-05,-3.990257027908228e-05,-1.2167192887918168
1654213183.334408,2.3141927158576436e-05,-3.990257027908228e-05,-1.2167247774100811
1654213183.379751,3.191768701071851e-05,-6.364318687701598e-05,-1.2167207439225671
1654213183.394743,2.314189259777777e-05,-3.990258483099751e-05,-1.2167218671486435
