Objects
100
,,Global Angle QBii:QBii,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
189,0,0.023717,0.005834,0.003916,-995.289124,-99.029755,167.290192
190,0,0.023746,0.005675,0.003948,-995.290039,-99.029411,167.294525
191,0,0.023743,0.005810,0.003958,-995.287842,-99.026115,167.287430
192,0,0.023663,0.005740,0.003910,-995.294922,-99.036148,167.297012
193,0,0.023880,0.005747,0.003951,-995.290466,-99.026779,167.277451
194,0,0.023759,0.005745,0.003943,-995.292297,-99.028381,167.293243
195,0,0.023758,0.005707,0.003890,-995.290405,-99.030602,167.301300
196,0,0.023580,0.004469,0.005022,-995.264099,-99.103241,167.261444
197,0,0.023705,0.005161,0.004125,-995.273987,-99.037727,167.283829
198,0,0.023759,0.005197,0.004039,-995.281555,-99.037979,167.282776
199,0,0.024292,0.005312,0.004132,-995.277466,-99.035316,167.233002
200,0,0.024151,0.005334,0.003992,-995.281250,-99.046928,167.232315
201,0,0.024246,0.005225,0.004138,-995.274292,-99.041618,167.225769
202,0,0.023259,0.005372,0.004192,-995.274780,-99.073822,167.254242
203,0,0.023502,0.005295,0.003965,-995.282166,-99.055534,167.244446
204,0,0.023544,0.005307,0.003991,-995.276367,-99.058212,167.245148
205,0,0.023606,0.005407,0.003400,-995.356689,-99.118500,167.223328
206,0,0.023329,0.005645,0.003881,-995.276794,-99.063446,167.245193
207,0,0.023436,0.005635,0.003896,-995.271790,-99.065865,167.235092
208,0,0.023266,0.005673,0.004269,-995.272949,-99.093262,167.237778
209,0,0.023431,0.004783,0.004129,-995.250793,-99.080170,167.211853
210,0,0.023431,0.004729,0.004052,-995.249390,-99.070656,167.212540
211,0,0.023311,0.004666,0.003964,-995.252869,-99.073044,167.220398
212,0,0.023365,0.004626,0.004082,-995.242737,-99.063530,167.218399
213,0,0.023410,0.004667,0.003998,-995.247192,-99.062813,167.223633
214,0,0.023422,0.004561,0.004016,-995.244385,-99.061417,167.214294
215,0,0.023396,0.004626,0.004051,-995.245605,-99.062363,167.217865
216,0,0.023383,0.004637,0.004035,-995.244995,-99.058647,167.216888
217,0,0.024467,0.004712,0.004329,-995.211731,-99.065994,167.118301
218,0,0.024345,0.004697,0.004243,-995.217163,-99.065269,167.133804
219,0,0.024357,0.004679,0.004364,-995.205811,-99.066406,167.135376
220,0,0.024382,0.004796,0.004305,-995.207275,-99.093506,167.099823
221,0,0.024376,0.004777,0.004373,-995.186218,-99.070229,167.110764
222,0,0.024449,0.004794,0.004347,-995.188293,-99.062180,167.104538
223,0,0.024314,0.004747,0.004350,-995.185608,-99.064812,167.111115
224,0,0.023236,0.004895,0.004126,-995.184570,-99.082626,167.149094
225,0,0.023274,0.004852,0.003995,-995.192017,-99.080307,167.148834
226,0,0.023156,0.005467,0.003685,-995.210938,-99.105537,167.125824
227,0,0.023176,0.005558,0.003857,-995.187927,-99.089897,167.122421
228,0,0.023188,0.005556,0.003863,-995.186340,-99.084747,167.126175
229,0,0.023278,0.005533,0.003851,-995.183472,-99.084534,167.120590
230,0,0.023200,0.005519,0.003831,-995.184875,-99.088593,167.122574
231,0,0.023149,0.005534,0.003912,-995.179810,-99.084885,167.129242
232,0,0.023170,0.005526,0.003854,-995.186462,-99.089661,167.128265
233,0,0.023201,0.005522,0.003852,-995.187378,-99.085861,167.121933
234,0,0.023133,0.005487,0.003836,-995.186768,-99.088646,167.125748
235,0,0.023111,0.005554,0.003811,-995.187622,-99.087097,167.131760
236,0,0.023151,0.005528,0.003876,-995.180237,-99.089493,167.125351
237,0,0.023312,0.005492,0.003772,-995.190613,-99.089790,167.114807
238,0,0.023219,0.005493,0.003838,-995.182739,-99.092331,167.121078
239,0,0.023233,0.005500,0.003866,-995.182312,-99.093636,167.116104
240,0,0.023170,0.005549,0.003895,-995.179504,-99.089813,167.122269
241,0,0.023193,0.005527,0.003868,-995.180725,-99.078529,167.125519
242,0,0.023185,0.005590,0.003819,-995.180969,-99.081482,167.122559
243,0,0.023121,0.005560,0.003851,-995.180481,-99.083900,167.121506
244,0,0.023190,0.005561,0.003828,-995.183716,-99.090050,167.116486
245,0,0.023276,0.005547,0.003845,-995.179138,-99.087189,167.111206
246,0,0.023175,0.005596,0.003875,-995.181030,-99.087204,167.117447
247,0,0.023234,0.005604,0.003841,-995.183228,-99.082054,167.117737
248,0,0.023233,0.005548,0.003881,-995.178101,-99.086189,167.118393
249,0,0.023194,0.005485,0.003844,-995.184082,-99.081810,167.123413
250,0,0.023162,0.005506,0.003822,-995.189697,-99.085114,167.122528
251,0,0.023286,0.005573,0.003868,-995.184021,-99.085938,167.114166
252,0,0.023160,0.005547,0.003832,-995.182861,-99.085037,167.118439
253,0,0.023176,0.005556,0.003796,-995.187805,-99.091370,167.121002
254,0,0.023263,0.005550,0.003883,-995.183044,-99.087509,167.119843
255,0,0.023152,0.005501,0.003865,-995.187378,-99.089645,167.126663
256,0,0.023171,0.005555,0.003847,-995.188965,-99.089478,167.123642
257,0,0.023255,0.005588,0.003804,-995.188416,-99.086784,167.118210
258,0,0.023194,0.005532,0.003876,-995.182922,-99.087219,167.120697
259,0,0.023253,0.005536,0.003897,-995.182800,-99.084160,167.118103
260,0,0.023277,0.005505,0.003814,-995.184875,-99.085281,167.117599
261,0,0.023225,0.005532,0.003852,-995.180725,-99.083778,167.121857
262,0,0.023253,0.005555,0.003870,-995.182739,-99.081665,167.119400
263,0,0.023210,0.005569,0.003854,-995.183105,-99.081100,167.122406
264,0,0.023208,0.005543,0.003844,-995.184021,-99.085587,167.127075
265,0,0.023207,0.005528,0.003911,-995.185364,-99.086113,167.122711
266,0,0.023241,0.005488,0.003888,-995.184143,-99.084167,167.120239
267,0,0.023223,0.005486,0.003847,-995.187256,-99.091019,167.122284
268,0,0.023170,0.005488,0.003863,-995.186096,-99.084557,167.123428
269,0,0.023214,0.005484,0.003866,-995.184814,-99.082153,167.126450
270,0,0.023211,0.005570,0.003887,-995.184326,-99.085800,167.128876
271,0,0.023231,0.005545,0.003920,-995.183105,-99.087303,167.125931
272,0,0.023292,0.005519,0.003876,-995.185913,-99.089165,167.121445
273,0,0.023278,0.005528,0.003841,-995.189880,-99.089294,167.121216
274,0,0.023288,0.005462,0.003863,-995.187195,-99.087250,167.117294
275,0,0.023238,0.005540,0.003832,-995.189331,-99.082802,167.119781
276,0,0.023293,0.005540,0.003882,-995.183105,-99.085587,167.116821
277,0,0.023153,0.005506,0.003899,-995.183533,-99.084923,167.125229
278,0,0.023183,0.005516,0.003850,-995.188660,-99.084274,167.122253
279,0,0.023163,0.005499,0.003892,-995.183716,-99.091522,167.125961
280,0,0.023212,0.005488,0.003822,-995.186829,-99.086876,167.125076
281,0,0.023192,0.005533,0.003862,-995.185608,-99.085541,167.124847
282,0,0.023193,0.005527,0.003866,-995.184631,-99.084877,167.124954
283,0,0.023168,0.005550,0.003810,-995.189087,-99.090347,167.123840
284,0,0.023112,0.005525,0.003859,-995.183228,-99.082039,167.129196
285,0,0.023225,0.005466,0.003847,-995.186340,-99.085999,167.123688
286,0,0.023243,0.005553,0.003826,-995.185242,-99.084099,167.121017
287,0,0.023332,0.005500,0.003847,-995.185608,-99.081055,167.115189
288,0,0.023256,0.005524,0.003850,-995.186157,-99.080757,167.118362
289,0,0.023288,0.005474,0.003815,-995.185059,-99.089600,167.120697
290,0,0.023231,0.005526,0.003879,-995.187073,-99.084618,167.121017
291,0,0.023170,0.005516,0.003880,-995.184937,-99.091034,167.127640
292,0,0.023162,0.005541,0.003849,-995.184082,-99.086548,167.125320
293,0,0.023189,0.005474,0.003873,-995.186829,-99.089218,167.122314
294,0,0.023279,0.005518,0.003838,-995.186462,-99.084045,167.117935
295,0,0.023181,0.005511,0.003850,-995.185730,-99.084724,167.124832
296,0,0.023201,0.005482,0.003775,-995.193787,-99.087502,167.121887
297,0,0.023218,0.005520,0.003842,-995.186096,-99.085884,167.120834
298,0,0.023239,0.005477,0.003851,-995.183899,-99.083786,167.119995
299,0,0.023162,0.005538,0.003845,-995.182739,-99.083588,167.123398
300,0,0.023198,0.005517,0.003875,-995.186401,-99.085106,167.123413
301,0,0.023245,0.005573,0.003850,-995.185425,-99.085365,167.116074
302,0,0.023166,0.005579,0.003885,-995.181702,-99.086754,167.121658
303,0,0.023157,0.005569,0.003857,-995.183777,-99.090057,167.123978
304,0,0.023210,0.005498,0.003872,-995.181824,-99.093040,167.123474
305,0,0.023254,0.005549,0.003858,-995.182373,-99.086426,167.118561
306,0,0.023201,0.005584,0.003864,-995.183716,-99.088737,167.119675
307,0,0.023166,0.005517,0.003849,-995.186157,-99.087257,167.124832
308,0,0.023232,0.005530,0.003857,-995.185059,-99.085571,167.111679
309,0,0.023217,0.005574,0.003872,-995.180725,-99.083969,167.118912
310,0,0.023294,0.005608,0.003846,-995.177856,-99.077896,167.111877
311,0,0.023168,0.005567,0.003874,-995.180481,-99.079002,167.120514
312,0,0.023127,0.005550,0.003815,-995.185181,-99.084061,167.123306
313,0,0.023220,0.005568,0.003926,-995.178711,-99.086411,167.114914
314,0,0.023174,0.005539,0.003871,-995.183044,-99.091728,167.116409
315,0,0.023199,0.005541,0.003819,-995.180786,-99.089111,167.116348
