Objects
100
,,Global Angle QBii:QBii,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
192,0,0.004460,0.021563,0.000989,843.310852,-107.438110,154.225693
193,0,0.004368,0.021594,0.000996,843.307922,-107.433922,154.233749
194,0,0.004443,0.021575,0.000949,843.307434,-107.439110,154.223663
195,0,0.004427,0.021553,0.000976,843.311646,-107.439781,154.223221
196,0,0.004422,0.021572,0.000989,843.311340,-107.437561,154.222137
197,0,0.004380,0.021521,0.001020,843.313477,-107.436478,154.228500
198,0,0.004382,0.021516,0.000965,843.307800,-107.434753,154.232651
199,0,0.004396,0.021569,0.000928,843.307251,-107.431068,154.227173
200,0,0.004345,0.021558,0.000911,843.308594,-107.433426,154.228043
201,0,0.004355,0.021634,0.000938,843.314087,-107.436012,154.228195
202,0,0.004386,0.021688,0.000922,843.315186,-107.430695,154.231720
203,0,0.004379,0.021736,0.000866,843.316406,-107.431969,154.233353
204,0,0.004410,0.022410,0.000461,843.304138,-107.406975,154.245041
205,0,0.004304,0.022538,0.000576,843.275269,-107.420479,154.250519
206,0,0.004324,0.022402,0.000556,843.270813,-107.423279,154.251663
207,0,0.004267,0.022489,0.000546,843.276062,-107.423225,154.258942
208,0,0.004321,0.022493,0.000595,843.276306,-107.419365,154.251465
209,0,0.004333,0.022502,0.000539,843.272949,-107.417648,154.259354
210,0,0.004364,0.022471,0.000593,843.275208,-107.420403,154.250214
211,0,0.004255,0.022515,0.000564,843.274475,-107.422203,154.256760
212,0,0.004315,0.022523,0.000574,843.272400,-107.421989,154.256439
213,0,0.004293,0.022421,0.000620,843.276672,-107.421944,154.259491
214,0,0.004396,0.022460,0.000594,843.276428,-107.423027,154.249496
215,0,0.004354,0.022440,0.000630,843.271118,-107.418770,154.251892
216,0,0.004342,0.022419,0.000603,843.272949,-107.423607,154.248489
217,0,0.004269,0.022514,0.000560,843.271545,-107.423676,154.255630
218,0,0.004352,0.022439,0.000566,843.268799,-107.421707,154.252106
219,0,0.004287,0.022505,0.000577,843.270569,-107.425529,154.254517
220,0,0.004272,0.022486,0.000602,843.274475,-107.423218,154.259750
221,0,0.004368,0.022475,0.000573,843.274597,-107.420685,154.255020
222,0,0.004378,0.022468,0.000552,843.270447,-107.423813,154.249771
223,0,0.004297,0.022494,0.000571,843.272339,-107.426170,154.252228
224,0,0.004433,0.022435,0.000579,843.276611,-107.424751,154.247467
225,0,0.004387,0.022490,0.000622,843.272400,-107.427124,154.250137
226,0,0.004340,0.022487,0.000603,843.274841,-107.418793,154.256851
227,0,0.004383,0.022555,0.000624,843.273499,-107.418419,154.252762
228,0,0.004351,0.022492,0.000590,843.272339,-107.420425,154.255356
229,0,0.004376,0.022512,0.000580,843.275940,-107.425262,154.249924
230,0,0.004330,0.022459,0.000601,843.272522,-107.424759,154.253098
231,0,0.004410,0.021712,0.000725,843.341736,-107.420212,154.228516
232,0,0.004490,0.021652,0.000862,843.314209,-107.433029,154.225327
233,0,0.004413,0.021513,0.000960,843.312866,-107.437630,154.227783
234,0,0.004470,0.021603,0.000980,843.311584,-107.435760,154.227097
235,0,0.004492,0.021547,0.000984,843.311401,-107.442787,154.220764
236,0,0.004350,0.021542,0.001003,843.310669,-107.442551,154.231323
237,0,0.004517,0.021576,0.000978,843.309875,-107.442902,154.222977
238,0,0.004438,0.021554,0.000992,843.309204,-107.436333,154.231476
239,0,0.004394,0.021506,0.000994,843.309387,-107.442345,154.232544
240,0,0.004405,0.021502,0.000987,843.305847,-107.437660,154.233994
241,0,0.004498,0.021494,0.001019,843.313599,-107.439369,154.228195
242,0,0.004410,0.021502,0.000952,843.305054,-107.436668,154.235489
243,0,0.004435,0.021537,0.001014,843.309753,-107.436928,154.228638
244,0,0.004435,0.021277,0.001326,843.316040,-107.411568,154.246689
245,0,0.004472,0.021280,0.000904,843.293945,-107.421120,154.239334
246,0,0.003993,0.021310,0.001089,843.313232,-107.421120,154.280670
247,0,0.003926,0.021171,0.001157,843.297729,-107.394760,154.301498
248,0,0.004007,0.021155,0.001228,843.307678,-107.399460,154.299286
249,0,0.003605,0.020439,0.001144,843.287720,-107.331116,154.397049
250,0,0.003453,0.020345,0.001548,843.343567,-107.354889,154.398712
251,0,0.003374,0.020195,0.001616,843.341370,-107.329567,154.433258
252,0,0.003462,0.020184,0.001416,843.305054,-107.303230,154.445999
253,0,0.004399,0.020567,0.001490,843.338867,-107.294647,154.422897
254,0,0.004439,0.020715,0.001234,843.310608,-107.284241,154.431168
255,0,0.004463,0.021432,0.001050,843.308167,-107.275764,154.445496
256,0,0.004401,0.021531,0.001060,843.306091,-107.273407,154.444656
257,0,0.004374,0.021546,0.001040,843.308411,-107.278816,154.444641
258,0,0.004957,0.023624,0.000407,843.267883,-107.349220,154.276413
259,0,0.004967,0.022722,0.000734,843.286377,-107.320999,154.319550
260,0,0.004887,0.022895,0.000672,843.318054,-107.389732,154.261703
261,0,0.004963,0.022569,0.000725,843.303284,-107.347443,154.304749
262,0,0.004905,0.022163,0.000842,843.305481,-107.327263,154.336578
263,0,0.004945,0.022043,0.000888,843.305054,-107.318985,154.345520
264,0,0.004954,0.021971,0.000904,843.305054,-107.322456,154.340622
265,0,0.004961,0.021959,0.000883,843.307190,-107.319901,154.343628
266,0,0.005049,0.021971,0.000869,843.306030,-107.315163,154.343475
267,0,0.004970,0.021965,0.000901,843.310913,-107.312981,154.345383
268,0,0.004950,0.022028,0.000886,843.312805,-107.321869,154.348038
269,0,0.003778,0.022284,-0.000108,843.292908,-107.397591,154.362335
270,0,0.004153,0.022197,0.000452,843.301880,-107.359505,154.357742
271,0,0.004405,0.022079,0.000693,843.305176,-107.331360,154.368439
272,0,0.003428,0.021976,0.000928,843.317139,-107.245445,154.481033
273,0,0.005387,0.022138,0.000604,843.288574,-107.362595,154.274475
274,0,0.005377,0.022152,0.000593,843.290344,-107.359901,154.271820
275,0,0.005149,0.023923,-0.001107,843.171143,-107.229340,154.358734
276,0,0.005548,0.022005,0.000718,843.279419,-107.466141,154.170197
277,0,0.006646,0.022014,0.000714,843.278137,-107.508781,154.053543
278,0,0.006424,0.022969,0.000038,843.239624,-107.527901,154.047531
279,0,0.005458,0.022630,0.000543,843.246765,-107.547905,154.080536
280,0,0.005423,0.022680,0.000512,843.246399,-107.552994,154.080414
281,0,0.005432,0.022621,0.000520,843.245056,-107.550125,154.084839
282,0,0.005484,0.022656,0.000517,843.248718,-107.575775,154.051117
283,0,0.008551,0.018563,0.004932,843.713684,-107.906029,153.600418
284,0,0.008492,0.018632,0.004328,843.641541,-107.872993,153.610214
285,0,0.008573,0.018644,0.004273,843.634460,-107.873802,153.608353
286,0,0.007872,0.018767,0.004277,843.634705,-107.888550,153.621246
287,0,0.007737,0.019153,0.004427,843.661499,-107.897797,153.639633
288,0,0.007728,0.018719,0.004268,843.632324,-107.891144,153.633209
289,0,0.007788,0.018787,0.004249,843.624329,-107.889748,153.627884
290,0,0.007662,0.018797,0.004216,843.621765,-107.885117,153.636200
291,0,0.007720,0.018803,0.004188,843.622620,-107.886787,153.630188
292,0,0.007792,0.018757,0.004228,843.623230,-107.885735,153.626480
293,0,0.007769,0.018786,0.004221,843.619934,-107.885185,153.628784
294,0,0.007741,0.018765,0.004223,843.621521,-107.887970,153.623978
295,0,0.007772,0.018720,0.004229,843.624207,-107.888908,153.625809
296,0,0.007763,0.018783,0.004189,843.616882,-107.886032,153.624466
297,0,0.006661,0.018590,0.004437,843.638245,-107.830635,153.740662
298,0,0.006532,0.018586,0.003816,843.619812,-107.892235,153.737167
299,0,0.004513,0.018763,0.002431,843.487854,-107.573425,154.049149
300,0,0.004652,0.018026,0.002884,843.481934,-107.528770,154.055038
301,0,0.004733,0.017993,0.002990,843.482117,-107.493622,154.023712
302,0,0.005197,0.018485,0.003135,843.499512,-107.477150,153.982758
303,0,0.004892,0.018411,0.003377,843.514893,-107.408981,154.007324
304,0,0.004920,0.018366,0.003344,843.511292,-107.410110,154.006104
305,0,0.004965,0.018368,0.003362,843.509216,-107.407127,154.009155
306,0,0.004883,0.018301,0.003378,843.509644,-107.409271,154.017303
307,0,0.004909,0.018311,0.003395,843.513000,-107.404724,154.013458
308,0,0.004329,0.017359,0.003285,843.531860,-107.370491,154.044495
309,0,0.004353,0.018568,0.003579,843.557739,-107.384483,154.065567
310,0,0.006032,0.017626,0.003604,843.590210,-107.322464,153.909088
311,0,0.006405,0.017360,0.004019,843.652710,-107.294312,153.876175
312,0,0.005792,0.017579,0.003251,843.601440,-107.302849,153.966537
313,0,0.005241,0.018309,0.003797,843.643860,-107.299858,153.963898
314,0,0.004513,0.017112,0.003689,843.734192,-107.376869,153.974213
315,0,0.004223,0.016879,0.004055,843.624146,-107.484650,153.996292
316,0,0.004978,0.017465,0.005233,843.625549,-107.467491,153.979095
317,0,0.004671,0.016721,0.003463,843.501831,-107.484291,154.022202
318,0,0.004791,0.017023,0.004010,843.570129,-107.441032,153.998917
319,0,0.003911,0.016952,0.002606,843.476562,-107.515938,154.057755
320,0,0.003249,0.018126,0.003899,843.659302,-107.515236,154.113770
321,0,0.003473,0.018155,0.005556,843.764648,-107.478119,154.059204
322,0,0.003449,0.018304,0.004226,843.658691,-107.529953,154.079178
323,0,0.003902,0.018011,0.003526,843.644043,-107.602768,154.061157
324,0,0.004351,0.019544,0.003797,843.779358,-107.714172,154.069870
325,0,0.008169,0.019790,0.004932,843.884521,-107.834572,153.759995
326,0,0.007948,0.019922,0.004597,843.969299,-107.809990,153.718353
327,0,0.008919,0.019752,0.004764,843.913147,-107.817101,153.716354
328,0,0.011738,0.019691,0.005027,843.959412,-107.786339,153.453079
329,0,0.009769,0.019504,0.006517,844.177856,-107.879486,153.598083
330,0,0.010192,0.023137,0.005762,844.173889,-107.792053,153.358612
331,0,0.010529,0.021591,0.007357,844.245178,-107.800919,153.488373
332,0,0.009417,0.020604,0.005153,844.125916,-107.952011,153.482117
333,0,0.010741,0.019580,0.005331,844.050354,-108.073425,153.662720
334,0,0.007881,0.018962,0.003679,843.911987,-108.193970,153.879059
335,0,0.004977,0.018219,0.004131,844.004395,-108.159225,154.026382
336,0,0.007797,0.019404,0.004899,844.061279,-108.090622,153.781006
337,0,0.008963,0.018838,0.002997,844.045715,-108.201096,153.769608
338,0,0.003345,0.017830,0.003581,843.976013,-108.240952,154.161728
339,0,0.008704,0.018230,0.004453,844.064453,-108.118568,153.667831
340,0,0.008640,0.018405,0.004485,844.078857,-108.110901,153.665085
341,0,0.010536,0.017900,0.004722,844.034241,-108.136673,153.636597
342,0,0.007824,0.018980,0.004569,844.078918,-108.087738,153.672531
343,0,0.007853,0.020759,0.005037,844.073120,-108.106125,153.720734
344,0,0.007768,0.019831,0.004758,844.070129,-108.088303,153.693878
345,0,0.006847,0.019075,0.003840,843.919128,-108.073364,153.785782
346,0,0.007052,0.019195,0.004226,843.971924,-108.119331,153.848694
347,0,0.006971,0.019526,0.004253,843.998474,-108.107140,153.796341
348,0,0.007602,0.019478,0.004365,843.996460,-108.109009,153.777878
349,0,0.007539,0.018737,0.004264,843.961304,-108.117104,153.827866
350,0,0.007592,0.019082,0.004380,843.982117,-108.108994,153.801483
351,0,0.006948,0.019152,0.005250,843.987732,-108.062202,153.831543
352,0,0.007357,0.019124,0.004671,843.983643,-108.086678,153.809616
353,0,0.007412,0.019107,0.004559,843.982117,-108.092339,153.805908
354,0,0.007359,0.019137,0.004598,843.983826,-108.091499,153.808212
355,0,0.007418,0.019012,0.004580,843.984192,-108.092628,153.810974
356,0,0.007456,0.019084,0.004534,843.980530,-108.093613,153.804535
357,0,0.007406,0.019100,0.004525,843.976440,-108.095070,153.811890
358,0,0.007497,0.019059,0.004730,843.925537,-108.045250,153.794769
359,0,0.007534,0.019077,0.004705,843.953613,-108.063576,153.799515
360,0,0.007454,0.019043,0.004590,843.972290,-108.085342,153.807571
361,0,0.007438,0.019034,0.004584,843.969360,-108.088524,153.808655
362,0,0.007472,0.019051,0.004583,843.968811,-108.087578,153.809189
363,0,0.007679,0.019099,0.003952,843.893616,-108.073792,153.794403
364,0,0.007549,0.019026,0.004305,843.933655,-108.076630,153.802414
365,0,0.007536,0.019051,0.004276,843.934692,-108.071861,153.799728
366,0,0.007543,0.019047,0.004278,843.928955,-108.073166,153.803741
367,0,0.007687,0.019324,0.004601,843.902283,-108.046600,153.789474
368,0,0.007414,0.018966,0.002985,843.757385,-107.976799,153.818436
369,0,0.007427,0.018818,0.003010,843.770630,-107.976997,153.813202
370,0,0.007395,0.018846,0.002965,843.766846,-107.975136,153.818665
371,0,0.007407,0.018809,0.002968,843.766113,-107.975174,153.822906
372,0,0.007407,0.018749,0.002960,843.767273,-107.976120,153.824112
373,0,0.004910,0.018466,0.001525,843.431152,-107.699516,154.122101
374,0,0.006076,0.018196,0.003913,843.513367,-107.588570,154.081024
375,0,0.004785,0.018477,0.002551,843.505615,-107.618233,154.118271
376,0,0.004494,0.018472,0.002291,843.509033,-107.624130,154.132111
377,0,0.004606,0.018512,0.002231,843.501770,-107.621765,154.123642
378,0,0.004809,0.018627,0.003172,843.508118,-107.542000,154.115921
379,0,0.004765,0.018651,0.003174,843.521606,-107.547478,154.111191
380,0,0.004691,0.018695,0.003136,843.522888,-107.545540,154.118118
381,0,0.004743,0.018663,0.003168,843.523621,-107.545044,154.120178
382,0,0.004665,0.018636,0.003163,843.527466,-107.541901,154.123703
383,0,0.004844,0.018697,0.003150,843.525452,-107.541992,154.109924
384,0,0.004779,0.018635,0.003170,843.522156,-107.543686,154.114365
385,0,0.004791,0.018698,0.003196,843.523010,-107.540382,154.115524
386,0,0.004783,0.018669,0.003183,843.522888,-107.541618,154.117203
387,0,0.004830,0.018691,0.003184,843.524963,-107.540352,154.113983
388,0,0.004704,0.018679,0.003160,843.522400,-107.539917,154.121277
389,0,0.004769,0.018657,0.003178,843.523499,-107.539108,154.110901
390,0,0.004822,0.018718,0.003173,843.522400,-107.548531,154.109985
391,0,0.004729,0.018646,0.003128,843.519775,-107.545059,154.118713
392,0,0.004715,0.018613,0.003164,843.525635,-107.538376,154.123764
393,0,0.004797,0.018653,0.003176,843.522522,-107.542435,154.119720
